timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743258035.669052|3461344040|573725|b'\xaaF\rg6:2\xcf\xd5{=\xa0\xc45]\x85'|b'\xe7}\xca\x908\x1a\xd3\x18x\x8fi+'|1510|42|1468|52|1386|1438|0|65|1438
1743258035.669148|3461344040|573726|b'\xf4\x14\xae0\t\xa2i\x17\xbc\x8d\xd13\xca\xd0\x97\x19'|"b'\x17\xa2\xa5e\x8f\xfd\x10\xc6I\xdf\xbf|'"|1510|42|1468|52|1386|1438|0|66|1438
1743258035.669175|3461344040|573727|b'\x88\xf9bF\x03\xa8\xd3*\x95\x85\x16\xca\xfe\x04\xcf\xf4'|b'n)A8\n\x07\t\x0cS\xe4\xd8\xdf'|1510|42|1468|52|1386|1438|0|67|1438
1743258035.669190|3461344040|573728|b'\xc6\xc9\xbc\x03Jz\x9a\xd0\xb2+<\x01\x8a!\xe8\xfa'|b'\x94\xf8\xcf\xe27\xd2M*\x92\xbdsi'|1510|42|1468|52|1386|1438|0|68|1438
1743258035.669210|3461344040|573729|"b""\xf0'\x98G\xdb[=z\x0c=\xdd\x0f\xf6\xa2b\x16"""|b'\x16z\x7f\xbf\x83\xd9\xce\xf5x\xf2u\x8b'|1510|42|1468|52|1386|1438|0|69|1438
1743258035.669225|3461344040|573730|"b'p\x8c\xa0\x86B\x9f}\xc9!h\x8a\xfa\xba""\xdc\xff'"|b'\xd0\x85\x9c\xcf\xda\x06\xceL@\xb5\xe5%'|1510|42|1468|52|1386|1438|0|70|1438
1743258035.669240|3461344040|573731|b';\x99\x14\xf7\xe8\x06\x9e\r\x01[\xd3(\xbb\xc1\x07\xf4'|"b'\xbe""\x8f\x8cf\x11:\xb3\x8f\x98\x88\xd5'"|1510|42|1468|52|1386|1438|0|71|1438
1743258035.669295|3461344040|573732|b'z\xa1\xb1\xa9\x8bqp\xa7O\x90W\xb3\x1a4\x95\xb5'|b'\xfbv\xb8U~\xc0\xe2\x1bt,\x0e\xb2'|1510|42|1468|52|1386|1438|0|72|1438
1743258035.669337|3461344040|573733|b'\xe8W\xe4\xc4\xea\x98\xc9\xdf\x04\xca\x04,\x82\xe1\xf5K'|b'k\xaf\xdb\x8dC\rZ\xa4\xe3;\xa7\x92'|1510|42|1468|52|1386|1438|0|73|1438
1743258035.669356|3461344040|573734|b'\x92\x15 \xa5\xf4b6\xc2w\xd2 {\xab\x91d\xee'|b'E0\xd2\xa4h\xdc\x9b\x7fb\xd7\x84\xdf'|1510|42|1468|52|1386|1438|0|74|1438
