timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743262327.418783|3224334942|1596461|b'N\xd5\xa3\xe7\x1c\xe8\x03\xec\xf2O1\x13\x07\x1d\xc3\x1c'|b'\x84Y\xde9\xbf\x15\xf8\xd2\xb2\xa2\xe3\x14'|406|42|364|52|271|323|11|2433|323
1743262327.429888|3461344040|2744910|b'\xcb\xff\x1bY\xca\x93\x0c\x82J\xa4\xb6\xaf\xcf\xc9\xcf\xcb'|b'\\\xfc\x8e\x95()G\x02\xaf\xc4\x04L'|1510|42|1468|52|1386|1438|0|2434|1438
1743262327.430039|3461344040|2744911|"b'iMK\xf3""\'q\t\r\xce@\x96\xe2\xf6\xeb\xab'"|b'\x14Vb\x87\xc6w<\xabg1Iu'|1510|42|1468|52|1386|1438|0|2435|1438
1743262327.430090|3461344040|2744912|b'Z\xaf$\xd3\xce\xab(\x83\x1dV=\x92\x1c\xcf\x10b'|b'\xde\xe6\xe0\xbe)\xcd\xb3Y\x83{\xa0U'|1510|42|1468|52|1386|1438|0|2436|1438
1743262327.430174|3461344040|2744913|b'\x88\xb2j\xed\x0f\xf0\x1f\xb5\xad\xe7Q\xb0\x86\xe5Z*'|b'\xc9}&\xeb\xbb_\x05X\x95\x97\x190'|294|42|252|52|158|210|12|2437|210
1743262327.430784|3224334942|1596462|b'\x1a\x9e\x00!\xba\x87NI\xf3\x8f\xd1\xce\x84j\xe9B'|b'\xbd\x807\x9c\xd5\xbb5s\x8e\x9b\xfd#'|134|42|92|52|0|52|10|2438|52
1743262327.433252|3224334942|1596463|"b""\x1d^\xa1\xde'Z\xc3\xd8\xd3\xea\x18\xf3\ty\x14\xf6"""|b'63\x9d7#\xd9\xf6&\x03\xb3 \xa7'|1510|42|1468|52|1386|1438|0|2439|1438
1743262327.433252|3224334942|1596464|b'\x84\xe2h\x88\xe0\xe6\xdd\xd4KZ\xd8\xf9\xbb\x90\xc1\xd4'|b'\xd6\xb8>\x84\xd25PpQr\xc8\x9f'|1510|42|1468|52|1386|1438|0|2440|1438
1743262327.433252|3224334942|1596465|b'd\x1b\xea\xcb4^P\x8du\x99\x14\xfd>\x82\xc3\x0c'|b'\x9d.\xcb*\xa2\x99\xde#\x87e\xd1\xae'|1510|42|1468|52|1386|1438|0|2441|1438
1743262327.433252|3224334942|1596466|b'\xbbk\x8f\xea.\x10\xca\x80%\xd1\x1d\x17\xeb\x92\xb8Q'|"b'KO\xc5\xd4\xf6\xe0|\xaa\xe3\xa49h'"|1510|42|1468|52|1386|1438|0|2442|1438
1743262327.433252|3224334942|1596467|b'S\xa0\xc6)[\x80\xf4\x1bJ\xfdP\x90@M\xb6\xaa'|b'P\xd1\x05Z\xb3k-\xda\x05\xbeP1'|550|42|508|52|416|468|10|2443|468
1743262327.433722|3461344040|2744914|b'\xea\xa5\x15\x8bJ;\xf1\xe8\xbd\xb6!\xfaE\xa3-\x9a'|b'\x9b[\t[\xd9\x1b\x9d<\x11=\xa0\x12'|134|42|92|52|0|52|10|2444|52
1743262327.440756|3461344040|2744915|b'\xfd\x1bF\xba\xe9oX\xad\xf0\x98\xb2\x86W\xc0K\x0f'|b'm\xc1\x07\xb0z\x06\xc7\x9b\x9f\x90\xd4\xae'|406|42|364|52|280|332|2|2445|332
1743262327.442123|3224334942|1596468|b'\xb9@\xc8&_\xc1\xea\xe2\x07K\xb3Y\xffm\x18\x94'|b'r\xc2k\x13\xba5\xe8D\xfa\xa5\x9d\x8b'|438|42|396|52|301|353|13|2446|353
1743262327.453560|3461344040|2744916|b'\x0f\xe7^\xd3\xb2\x9a\xa1\xc2\x0by+\xe41\xa6M\x82'|b'\xb2\x01\xbd\x1e\x16U\xf1\x02m\x96\xc8i'|390|42|348|52|255|307|11|2447|307
1743262327.454678|3224334942|1596469|"b'\x0e.""i\x89\xe2N\xa0k\xed5?\xcd,\x0f\xba'"|b'\x1b\xa0\xf0-?D\xfb\xab\xd1\x8d:m'|390|42|348|52|265|317|1|2448|317
1743262327.466514|3461344040|2744917|"b'[""\xe7\xf5\x86\xb2\xf1=\xfe\x91y\x86N\xa8\xcf\xec'"|b'\xc0\x0c\xcaP\xb5\xc59E?h%\xc0'|1510|42|1468|52|1386|1438|0|2449|1438
1743262327.466668|3461344040|2744918|b'U\xdc\x86\x80*l\xf0\xa9w\xa0\\J\x1a\xc1\x82B'|b'\x94af\xe5\xcdrw\x0e\xdfd\xb2\xbb'|1510|42|1468|52|1386|1438|0|2450|1438
1743262327.466725|3461344040|2744919|b'\xc4\x90\xf7\x0b\xd2gd\xb7\x8e\xea\xca\xbe\xadi\x04('|b'2\xdfg\x9c\xa9\xb3\xb6\x97\xbd\xe2\xe5d'|1062|42|1020|52|938|990|0|2451|990
